adj_symbol,adj_symbol,symbol,base_asset,quote_asset,status,contract_type
DUSK-USDT,DUSK-USDT,DUSKUSDT,DUSK,USDT,TRADING,PERPETUAL
FLOW-USDT,FLOW-USDT,FLOWUSDT,FLOW,USDT,TRADING,PERPETUAL
IMX-USDT,IMX-USDT,IMXUSDT,IMX,USDT,TRADING,PERPETUAL
API3-USDT,API3-USDT,API3USDT,API3,USDT,TRADING,PERPETUAL
GMT-USDT,GMT-USDT,GMTUSDT,GMT,USDT,TRADING,PERPETUAL
APE-USDT,APE-USDT,APEUSDT,APE,USDT,TRADING,PERPETUAL
BNX-USDT,BNX-USDT,BNXUSDT,BNX,USDT,TRADING,PERPETUAL
WOO-USDT,WOO-USDT,WOOUSDT,WOO,USDT,TRADING,PERPETUAL
FTT-USDT,FTT-USDT,FTTUSDT,FTT,USDT,TRADING,PERPETUAL
JASMY-USDT,JASMY-USDT,JASMYUSDT,JASMY,USDT,TRADING,PERPETUAL
DAR-USDT,DAR-USDT,DARUSDT,DAR,USDT,TRADING,PERPETUAL
GAL-USDT,GAL-USDT,GALUSDT,GAL,USDT,TRADING,PERPETUAL
AVAX-BUSD,AVAX-BUSD,AVAXBUSD,AVAX,BUSD,TRADING,PERPETUAL
NEAR-BUSD,NEAR-BUSD,NEARBUSD,NEAR,BUSD,TRADING,PERPETUAL
GMT-BUSD,GMT-BUSD,GMTBUSD,GMT,BUSD,TRADING,PERPETUAL
APE-BUSD,APE-BUSD,APEBUSD,APE,BUSD,TRADING,PERPETUAL
GAL-BUSD,GAL-BUSD,GALBUSD,GAL,BUSD,TRADING,PERPETUAL
FTM-BUSD,FTM-BUSD,FTMBUSD,FTM,BUSD,TRADING,PERPETUAL
DODO-BUSD,DODO-BUSD,DODOBUSD,DODO,BUSD,TRADING,PERPETUAL
ANC-BUSD,ANC-BUSD,ANCBUSD,ANC,BUSD,TRADING,PERPETUAL
GALA-BUSD,GALA-BUSD,GALABUSD,GALA,BUSD,TRADING,PERPETUAL
TRX-BUSD,TRX-BUSD,TRXBUSD,TRX,BUSD,TRADING,PERPETUAL
1000LUNC-BUSD,1000LUNC-BUSD,1000LUNCBUSD,1000LUNC,BUSD,TRADING,PERPETUAL
LUNA2-BUSD,LUNA2-BUSD,LUNA2BUSD,LUNA2,BUSD,TRADING,PERPETUAL
OP-USDT,OP-USDT,OPUSDT,OP,USDT,TRADING,PERPETUAL
DOT-BUSD,DOT-BUSD,DOTBUSD,DOT,BUSD,TRADING,PERPETUAL
